eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
138.78571428571428,-451.37930557142863,1830,4.3279895e-05,0.0,1.4063312,9.9291065e-05,3369.6655,0.060364365577697754,1,2048,1.1188895469967974,2048
146.92,-393.50402236,1952,2.857786e-05,0.0,1.4063557,-0.00010116151,2948.1968,0.10360652208328247,10,20480,10.577367947000312,20480
147.72,-400.80741715,1979,2.7088157e-05,0.0,1.4064525,7.6698256e-05,2316.5618,0.2779387831687927,20,40960,21.072362468999927,40960
148.57,-370.55190863999997,2027,8.983129e-06,0.0,1.4064794,-2.6515001e-05,2434.3516,0.23149222135543823,30,61440,31.245513322995976,61440
147.6,-388.29894563,2033,1.27922995e-05,0.0,1.4065839,8.184335e-05,2486.0496,0.17978203296661377,40,81920,41.37252204499964,81920
148.28,-362.01793926,1974,1.3931845e-05,0.0,1.4066086,-2.485569e-05,2075.3079,0.27902287244796753,50,102400,51.609880156989675,102400
148.21,-373.79787990999995,1903,1.3166488e-05,0.0,1.4065475,-4.0874147e-05,2762.3533,0.2690442204475403,60,122880,61.91951603499183,122880
147.01,-382.60467288,2081,2.0739762e-05,0.0,1.4066283,-2.0109845e-05,2193.2778,0.30554699897766113,70,143360,72.13674236899533,143360
149.37,-372.92005197,2141,2.92333e-05,0.0,1.406627,5.6437188e-05,2703.3267,0.22807639837265015,80,163840,82.12348895799369,163840
147.52,-388.77325213999995,1960,2.3383594e-05,0.0,1.40671,-7.8929355e-05,2750.9973,0.12157076597213745,90,184320,92.4734881859913,184320
146.0,-396.8640538900001,2049,1.2999697e-05,0.0,1.4066442,-5.6820223e-05,2341.0781,0.27651113271713257,100,204800,102.6068042179977,204800
146.14,-392.20302444000004,1777,5.3591015e-05,0.0,1.4063709,-0.00021595633,2557.635,0.24066442251205444,110,225280,113.36086900299415,225280
146.81,-394.5179888800001,1881,5.6396653e-05,0.0,1.4063603,-7.628011e-05,2932.5269,0.17172056436538696,120,245760,124.09665702100028,245760
148.79,-381.58632873999994,2034,5.8114376e-05,0.0,1.4063759,-0.0001437813,2257.0996,0.2917356491088867,130,266240,134.32579517998965,266240
148.41,-395.78976384999993,1963,2.5524483e-05,0.0,1.4063458,5.1260286e-06,2609.9263,0.2764408588409424,140,286720,144.56226897599117,286720
149.69,-372.79297449999996,1876,3.7387712e-05,0.0,1.4066473,-0.00016302429,2283.9702,0.31488990783691406,150,307200,154.99083145399345,307200
149.85,-362.97218169000007,1923,7.795147e-06,0.0,1.4067438,-6.752602e-05,2239.5916,0.3108230233192444,160,327680,165.5890286089998,327680
150.44,-362.36173192000007,1900,2.0061125e-05,0.0,1.406897,-6.686969e-05,2385.7915,0.29389703273773193,170,348160,176.06903323199367,348160
149.16,-381.1185351400001,2028,1.47622395e-05,0.0,1.4070007,9.42061e-05,2628.9414,0.24743223190307617,180,368640,186.4751757990016,368640
150.22,-374.40469915,1978,1.4948601e-05,0.0,1.4073902,0.0001357313,2673.8743,0.20548129081726074,190,389120,196.70824781998817,389120
149.46,-355.0147345900001,1947,1.1683337e-05,0.0,1.4077908,1.226645e-05,2271.2957,0.31291019916534424,200,409600,207.0298734120006,409600
151.69,-362.69928265000004,1920,2.9517723e-05,0.0,1.4076813,-0.00022956973,2917.013,0.25703418254852295,210,430080,217.58399030899454,430080
149.56,-364.11197905,1955,1.5479178e-05,0.0,1.4074641,-4.6470188e-05,2140.9077,0.3442770838737488,220,450560,228.06630865599436,450560
150.57,-346.48513777,1970,2.865954e-05,0.0,1.4073294,-0.00014065698,2428.9934,0.32540202140808105,230,471040,238.41018477200123,471040
153.45,-358.08402312,1960,1.8506358e-05,0.0,1.4075099,-2.0345484e-05,2345.1348,0.3463188409805298,240,491520,248.8723704409931,491520
152.14,-355.6826423500001,1860,2.7939088e-05,0.0,1.4082482,-7.11286e-05,2121.381,0.35464560985565186,250,512000,259.01952688799065,512000
149.71,-373.11916898,1945,1.3486334e-05,0.0,1.4082966,-5.2023825e-05,1813.4314,0.41599082946777344,260,532480,269.5365799879946,532480
153.93,-332.64255736,1947,2.7512775e-05,0.0,1.4082537,-0.00011930155,2169.72,0.3496042490005493,270,552960,280.13533355300024,552960
154.54,-336.40047916,1994,2.51068e-05,0.0,1.4080043,-0.00012355752,1772.4695,0.4510398507118225,280,573440,290.8508342139976,573440
153.34,-326.51429097,1991,1.617031e-05,0.0,1.4081115,-0.00016238954,1928.7847,0.4248424172401428,290,593920,301.1324559539935,593920
155.92,-329.9753268900001,1989,1.6206333e-05,0.0,1.4077733,-4.0271552e-06,1663.7246,0.4832615852355957,300,614400,311.6082434689888,614400
157.1,-322.24972653000003,1946,1.5647696e-05,0.0,1.4077438,2.7930364e-06,1896.7162,0.4746652841567993,310,634880,322.0501530009933,634880
157.53,-315.69855598,1992,4.021162e-05,0.0,1.4077134,2.0278094e-05,1267.7731,0.5876331031322479,320,655360,332.6166363270022,655360
157.95,-310.08261518,1988,2.7117056e-05,0.0,1.4071863,-0.00018098453,2108.791,0.47451937198638916,330,675840,343.0033541259909,675840
154.97,-332.86096576999995,1958,0.00019864047,0.0,1.4066209,-0.000884984,1808.3438,0.5038702189922333,340,696320,353.29900644799636,696320
160.56,-296.22945367,2047,2.3792321e-05,0.0,1.4053264,-0.00010330812,1672.5978,0.5107859075069427,350,716800,363.61078979099693,716800
159.52,-281.83755456,2033,1.3356265e-05,0.0,1.4046365,5.026511e-05,1351.6622,0.558825820684433,360,737280,373.75178202599636,737280
161.69,-279.73686607,1989,4.0457286e-05,0.0,1.4034581,-0.0005384853,1349.8234,0.590399831533432,370,757760,384.0801253539976,757760
166.05,-273.93212234,1993,2.8241031e-05,0.0,1.402561,-9.70024e-05,1558.2322,0.570851743221283,380,778240,394.22818660100165,778240
166.6,-264.38200319000003,2026,4.6644946e-05,0.0,1.4029173,-0.00015763621,1019.04596,0.6542885601520538,390,798720,404.51406823699654,798720
173.53,-232.24950728000005,2002,3.1366202e-05,0.0,1.4024485,1.6193051e-05,1090.9716,0.620718777179718,400,819200,414.7096982009971,819200
171.24,-223.90648178999996,2005,4.7129386e-05,0.0,1.4017605,-0.0001931801,985.06323,0.6847911775112152,410,839680,424.8979091809888,839680
173.4,-226.11982863,2004,3.7101858e-05,0.0,1.4020475,-0.00011103808,877.8424,0.6906576156616211,420,860160,435.16000467799313,860160
176.18,-206.70980317,1986,1.0964592e-05,0.0,1.402507,8.1003265e-05,793.6622,0.7154146730899811,430,880640,445.5142997649964,880640
178.66,-206.40511128999998,2017,0.00044408417,0.00048828125,1.4040279,-4.1719293e-05,1232.9979,0.6400980949401855,440,901120,455.67051447699487,901120
179.01,-199.90898893000002,2016,2.4339744e-05,0.0,1.4045646,0.00019520795,882.99963,0.6913231909275055,450,921600,465.83705313499377,921600
182.36,-208.31308651,2054,0.00013549668,0.00012207031,1.405387,-0.0007256798,959.9036,0.6404247283935547,460,942080,475.94180233399675,942080
176.59,-211.53642016999999,2004,4.140909e-05,0.0,1.4058628,-0.00049602106,1008.0963,0.5754314363002777,470,962560,486.3334588180005,962560
184.51,-187.05160773,2016,2.149408e-05,0.0,1.4039876,-8.5009466e-05,668.55096,0.7220169901847839,480,983040,496.50122193299467,983040
